コンボ数,ノーツ数,時間,時間差,ミタマ1,ミタマ2,ミタマ3,ミタマ4,ミタマ5,レベル,最大スコア,最適バースト位置
2,2,1.44,1.733333,0,0,0,0,0,27.0,0.0,0.0
4,2,2.10,0.433333,0,0,0,0,0,NaN,NaN,NaN
6,2,2.23,0.216667,0,0,0,0,0,NaN,NaN,NaN
8,2,2.37,0.233333,0,0,0,0,0,NaN,NaN,NaN
10,2,3.03,0.433333,0,0,0,0,0,NaN,NaN,NaN
12,2,3.29,0.433333,0,0,0,0,0,NaN,NaN,NaN
14,2,3.36,0.116667,0,0,0,0,0,NaN,NaN,NaN
16,2,3.42,0.100000,0,0,0,0,0,NaN,NaN,NaN
18,2,3.49,0.116667,0,0,0,0,0,NaN,NaN,NaN
20,2,3.55,0.100000,0,0,0,0,0,NaN,NaN,NaN
22,2,4.09,0.233333,0,0,0,0,0,NaN,NaN,NaN
24,2,4.22,0.216667,0,0,0,0,0,NaN,NaN,NaN
26,2,5.14,0.866667,0,0,0,0,0,NaN,NaN,NaN
28,2,5.27,0.216667,0,0,0,0,0,NaN,NaN,NaN
30,2,5.41,0.233333,0,0,0,0,0,NaN,NaN,NaN
32,2,5.54,0.216667,0,0,0,0,0,NaN,NaN,NaN
34,2,6.07,0.216667,0,0,0,0,0,NaN,NaN,NaN
36,2,6.20,0.216667,0,0,0,0,0,NaN,NaN,NaN
38,2,6.33,0.216667,0,0,0,0,0,NaN,NaN,NaN
40,2,6.46,0.216667,0,0,0,0,0,NaN,NaN,NaN
42,2,6.59,0.216667,0,0,0,0,0,NaN,NaN,NaN
44,2,7.13,0.233333,0,0,0,0,0,NaN,NaN,NaN
46,2,7.26,0.216667,0,0,0,0,0,NaN,NaN,NaN
48,2,7.39,0.216667,0,0,0,0,0,NaN,NaN,NaN
50,2,7.52,0.216667,0,0,0,0,0,NaN,NaN,NaN
52,2,8.05,0.216667,0,0,0,0,0,NaN,NaN,NaN
54,2,8.18,0.216667,0,0,0,0,0,NaN,NaN,NaN
56,2,8.31,0.216667,0,0,0,0,0,NaN,NaN,NaN
58,2,8.44,0.216667,0,0,0,0,0,NaN,NaN,NaN
60,2,8.58,0.233333,0,0,0,0,0,NaN,NaN,NaN
62,2,9.11,0.216667,0,0,0,0,0,NaN,NaN,NaN
64,2,9.24,0.216667,0,0,0,0,0,NaN,NaN,NaN
66,2,9.37,0.216667,0,0,0,0,0,NaN,NaN,NaN
68,2,9.50,0.216667,0,0,0,0,0,NaN,NaN,NaN
70,2,10.03,0.216667,0,0,0,0,0,NaN,NaN,NaN
72,2,10.16,0.216667,0,0,0,0,0,NaN,NaN,NaN
74,2,10.30,0.233333,0,0,0,0,0,NaN,NaN,NaN
76,2,10.43,0.216667,0,0,0,0,0,NaN,NaN,NaN
78,2,10.56,0.216667,0,0,0,0,0,NaN,NaN,NaN
80,2,11.09,0.216667,0,0,0,0,0,NaN,NaN,NaN
82,2,11.22,0.216667,0,0,0,0,0,NaN,NaN,NaN
84,2,11.35,0.216667,0,0,0,0,0,NaN,NaN,NaN
86,2,11.48,0.216667,0,0,0,0,0,NaN,NaN,NaN
88,2,12.01,0.216667,0,0,0,0,0,NaN,NaN,NaN
90,2,12.15,0.233333,0,0,0,0,0,NaN,NaN,NaN
92,2,12.28,0.216667,0,0,0,0,0,NaN,NaN,NaN
94,2,12.41,0.216667,0,0,0,0,0,NaN,NaN,NaN
96,2,12.54,0.216667,0,0,0,0,0,NaN,NaN,NaN
98,2,13.07,0.216667,0,0,0,0,0,NaN,NaN,NaN
100,2,13.20,0.216667,0,0,0,0,0,NaN,NaN,NaN
102,2,13.33,0.216667,0,0,0,0,0,NaN,NaN,NaN
104,2,13.47,0.233333,0,0,0,0,0,NaN,NaN,NaN
106,2,14.00,0.216667,0,0,0,0,0,NaN,NaN,NaN
108,2,14.13,0.216667,0,0,0,0,0,NaN,NaN,NaN
110,2,14.26,0.216667,0,0,0,0,0,NaN,NaN,NaN
112,2,14.39,0.216667,0,0,0,0,0,NaN,NaN,NaN
114,2,14.52,0.216667,0,0,0,0,0,NaN,NaN,NaN
116,2,15.05,0.216667,0,0,0,0,0,NaN,NaN,NaN
118,2,15.19,0.233333,0,0,0,0,0,NaN,NaN,NaN
120,2,15.32,0.216667,0,0,0,0,0,NaN,NaN,NaN
122,2,15.45,0.216667,0,0,0,0,0,NaN,NaN,NaN
124,2,15.58,0.216667,0,0,0,0,0,NaN,NaN,NaN
126,2,16.11,0.216667,0,0,0,0,0,NaN,NaN,NaN
