コンボ数,ノーツ数,時間,時間差,ミタマ1,ミタマ2,ミタマ3,ミタマ4,ミタマ5,レベル,最大スコア,最適バースト位置
2,2,1.51,1.850000,0,0,0,0,0,25.0,0.0,0.0
3,1,2.06,0.250000,0,0,0,0,0,NaN,NaN,NaN
4,1,2.12,0.100000,0,0,0,0,0,NaN,NaN,NaN
5,1,2.19,0.116667,0,0,0,0,0,NaN,NaN,NaN
6,1,2.34,0.250000,0,0,0,0,0,NaN,NaN,NaN
7,1,2.48,0.233333,0,0,0,0,0,NaN,NaN,NaN
8,1,3.02,0.233333,0,0,0,0,0,NaN,NaN,NaN
9,1,3.09,0.116667,0,0,0,0,0,NaN,NaN,NaN
10,1,3.23,0.233333,0,0,0,0,0,NaN,NaN,NaN
11,1,3.30,0.116667,0,0,0,0,0,NaN,NaN,NaN
12,1,3.44,0.233333,0,0,0,0,0,NaN,NaN,NaN
13,1,3.49,0.083333,0,0,0,0,0,NaN,NaN,NaN
14,1,3.54,0.083333,0,0,0,0,0,NaN,NaN,NaN
15,1,3.59,0.083333,0,0,0,0,0,NaN,NaN,NaN
16,1,4.03,0.066667,0,0,0,0,0,NaN,NaN,NaN
17,1,4.08,0.083333,0,0,0,0,0,NaN,NaN,NaN
19,2,4.13,0.083333,0,0,0,0,0,NaN,NaN,NaN
20,1,4.18,0.083333,0,0,0,0,0,NaN,NaN,NaN
21,1,4.23,0.083333,0,0,0,0,0,NaN,NaN,NaN
22,1,4.27,0.066667,0,0,0,0,0,NaN,NaN,NaN
23,1,4.41,0.233333,0,0,0,0,0,NaN,NaN,NaN
24,1,4.55,0.233333,0,0,0,0,0,NaN,NaN,NaN
25,1,5.02,0.116667,0,0,0,0,0,NaN,NaN,NaN
26,1,5.17,0.250000,0,0,0,0,0,NaN,NaN,NaN
27,1,5.24,0.116667,0,0,0,0,0,NaN,NaN,NaN
29,2,5.38,0.233333,0,0,0,0,0,NaN,NaN,NaN
30,1,5.53,0.250000,0,0,0,0,0,NaN,NaN,NaN
31,1,6.01,0.133333,0,0,0,0,0,NaN,NaN,NaN
32,1,6.07,0.100000,0,0,0,0,0,NaN,NaN,NaN
33,1,6.22,0.250000,0,0,0,0,0,NaN,NaN,NaN
34,1,6.35,0.216667,0,0,0,0,0,NaN,NaN,NaN
35,1,6.50,0.250000,0,0,0,0,0,NaN,NaN,NaN
36,1,6.57,0.116667,0,0,0,0,0,NaN,NaN,NaN
37,1,7.11,0.233333,0,0,0,0,0,NaN,NaN,NaN
39,2,7.18,0.116667,0,0,0,0,0,NaN,NaN,NaN
40,1,7.23,0.083333,0,0,0,0,0,NaN,NaN,NaN
41,1,7.27,0.066667,0,0,0,0,0,NaN,NaN,NaN
43,2,7.32,0.083333,0,0,0,0,0,NaN,NaN,NaN
44,1,7.46,0.233333,0,0,0,0,0,NaN,NaN,NaN
45,1,7.53,0.116667,0,0,0,0,0,NaN,NaN,NaN
46,1,8.00,0.116667,0,0,0,0,0,NaN,NaN,NaN
47,1,8.15,0.250000,0,0,0,0,0,NaN,NaN,NaN
48,1,8.29,0.233333,0,0,0,0,0,NaN,NaN,NaN
49,1,8.44,0.250000,0,0,0,0,0,NaN,NaN,NaN
50,1,8.50,0.100000,0,0,0,0,0,NaN,NaN,NaN
51,1,9.05,0.250000,0,0,0,0,0,NaN,NaN,NaN
52,1,9.11,0.100000,0,0,0,0,0,NaN,NaN,NaN
54,2,9.25,0.233333,0,0,0,0,0,NaN,NaN,NaN
56,2,9.40,0.250000,0,0,0,0,0,NaN,NaN,NaN
57,1,9.48,0.133333,0,0,0,0,0,NaN,NaN,NaN
59,2,9.54,0.100000,0,0,0,0,0,NaN,NaN,NaN
61,2,10.09,0.250000,0,0,0,0,0,NaN,NaN,NaN
63,2,10.22,0.216667,0,0,0,0,0,NaN,NaN,NaN
64,1,10.36,0.233333,0,0,0,0,0,NaN,NaN,NaN
66,2,10.43,0.116667,0,0,0,0,0,NaN,NaN,NaN
67,1,10.58,0.250000,0,0,0,0,0,NaN,NaN,NaN
69,2,11.05,0.116667,0,0,0,0,0,NaN,NaN,NaN
71,2,11.19,0.233333,0,0,0,0,0,NaN,NaN,NaN
73,2,11.33,0.233333,0,0,0,0,0,NaN,NaN,NaN
74,1,11.40,0.116667,0,0,0,0,0,NaN,NaN,NaN
76,2,11.47,0.116667,0,0,0,0,0,NaN,NaN,NaN
78,2,12.01,0.233333,0,0,0,0,0,NaN,NaN,NaN
80,2,12.16,0.250000,0,0,0,0,0,NaN,NaN,NaN
81,1,12.30,0.233333,0,0,0,0,0,NaN,NaN,NaN
83,2,12.37,0.116667,0,0,0,0,0,NaN,NaN,NaN
84,1,12.51,0.233333,0,0,0,0,0,NaN,NaN,NaN
86,2,12.58,0.116667,0,0,0,0,0,NaN,NaN,NaN
88,2,13.12,0.233333,0,0,0,0,0,NaN,NaN,NaN
90,2,13.26,0.233333,0,0,0,0,0,NaN,NaN,NaN
91,1,13.35,0.150000,0,0,0,0,0,NaN,NaN,NaN
