コンボ数,ノーツ数,時間,時間差,ミタマ1,ミタマ2,ミタマ3,ミタマ4,ミタマ5,レベル,最大スコア,最適バースト位置
2,2,1.14,1.233333,0,0,0,0,0,28.0,0.0,0.0
3,1,3.36,2.366667,0,0,0,0,0,NaN,NaN,NaN
4,1,3.41,0.083333,0,0,0,0,0,NaN,NaN,NaN
6,2,3.46,0.083333,0,0,0,0,0,NaN,NaN,NaN
8,2,5.02,1.266667,0,0,0,0,0,NaN,NaN,NaN
10,2,6.17,1.250000,0,0,0,0,0,NaN,NaN,NaN
11,1,6.22,0.083333,0,0,0,0,0,NaN,NaN,NaN
12,1,6.27,0.083333,0,0,0,0,0,NaN,NaN,NaN
13,1,6.32,0.083333,0,0,0,0,0,NaN,NaN,NaN
14,1,6.36,0.066667,0,0,0,0,0,NaN,NaN,NaN
15,1,6.41,0.083333,0,0,0,0,0,NaN,NaN,NaN
16,1,6.46,0.083333,0,0,0,0,0,NaN,NaN,NaN
17,1,6.51,0.083333,0,0,0,0,0,NaN,NaN,NaN
18,1,6.55,0.066667,0,0,0,0,0,NaN,NaN,NaN
19,1,7.00,0.083333,0,0,0,0,0,NaN,NaN,NaN
20,1,7.05,0.083333,0,0,0,0,0,NaN,NaN,NaN
21,1,7.10,0.083333,0,0,0,0,0,NaN,NaN,NaN
22,1,7.14,0.066667,0,0,0,0,0,NaN,NaN,NaN
23,1,7.19,0.083333,0,0,0,0,0,NaN,NaN,NaN
24,1,7.24,0.083333,0,0,0,0,0,NaN,NaN,NaN
25,1,7.29,0.083333,0,0,0,0,0,NaN,NaN,NaN
26,1,7.33,0.066667,0,0,0,0,0,NaN,NaN,NaN
27,1,7.38,0.083333,0,0,0,0,0,NaN,NaN,NaN
28,1,7.43,0.083333,0,0,0,0,0,NaN,NaN,NaN
29,1,7.47,0.066667,0,0,0,0,0,NaN,NaN,NaN
30,1,7.52,0.083333,0,0,0,0,0,NaN,NaN,NaN
31,1,7.57,0.083333,0,0,0,0,0,NaN,NaN,NaN
32,1,8.02,0.083333,0,0,0,0,0,NaN,NaN,NaN
33,1,8.06,0.066667,0,0,0,0,0,NaN,NaN,NaN
34,1,8.11,0.083333,0,0,0,0,0,NaN,NaN,NaN
36,2,8.30,0.316667,0,0,0,0,0,NaN,NaN,NaN
37,1,8.49,0.316667,0,0,0,0,0,NaN,NaN,NaN
38,1,8.54,0.083333,0,0,0,0,0,NaN,NaN,NaN
39,1,8.59,0.083333,0,0,0,0,0,NaN,NaN,NaN
40,1,9.03,0.066667,0,0,0,0,0,NaN,NaN,NaN
41,1,9.08,0.083333,0,0,0,0,0,NaN,NaN,NaN
42,1,9.13,0.083333,0,0,0,0,0,NaN,NaN,NaN
43,1,9.17,0.066667,0,0,0,0,0,NaN,NaN,NaN
44,1,9.22,0.083333,0,0,0,0,0,NaN,NaN,NaN
45,1,9.27,0.083333,0,0,0,0,0,NaN,NaN,NaN
46,1,9.32,0.083333,0,0,0,0,0,NaN,NaN,NaN
47,1,9.36,0.066667,0,0,0,0,0,NaN,NaN,NaN
48,1,9.41,0.083333,0,0,0,0,0,NaN,NaN,NaN
49,1,9.46,0.083333,0,0,0,0,0,NaN,NaN,NaN
50,1,9.51,0.083333,0,0,0,0,0,NaN,NaN,NaN
51,1,9.55,0.066667,0,0,0,0,0,NaN,NaN,NaN
52,1,10.00,0.083333,0,0,0,0,0,NaN,NaN,NaN
53,1,10.05,0.083333,0,0,0,0,0,NaN,NaN,NaN
54,1,10.10,0.083333,0,0,0,0,0,NaN,NaN,NaN
55,1,10.14,0.066667,0,0,0,0,0,NaN,NaN,NaN
56,1,10.19,0.083333,0,0,0,0,0,NaN,NaN,NaN
57,1,10.24,0.083333,0,0,0,0,0,NaN,NaN,NaN
58,1,10.29,0.083333,0,0,0,0,0,NaN,NaN,NaN
59,1,10.33,0.066667,0,0,0,0,0,NaN,NaN,NaN
60,1,10.38,0.083333,0,0,0,0,0,NaN,NaN,NaN
61,1,10.43,0.083333,0,0,0,0,0,NaN,NaN,NaN
63,2,11.02,0.316667,0,0,0,0,0,NaN,NaN,NaN
65,2,11.21,0.316667,0,0,0,0,0,NaN,NaN,NaN
66,1,11.30,0.150000,0,0,0,0,0,NaN,NaN,NaN
67,1,11.35,0.083333,0,0,0,0,0,NaN,NaN,NaN
68,1,11.40,0.083333,0,0,0,0,0,NaN,NaN,NaN
69,1,11.44,0.066667,0,0,0,0,0,NaN,NaN,NaN
70,1,11.49,0.083333,0,0,0,0,0,NaN,NaN,NaN
71,1,11.54,0.083333,0,0,0,0,0,NaN,NaN,NaN
72,1,11.59,0.083333,0,0,0,0,0,NaN,NaN,NaN
73,1,12.08,0.150000,0,0,0,0,0,NaN,NaN,NaN
74,1,12.13,0.083333,0,0,0,0,0,NaN,NaN,NaN
75,1,12.17,0.066667,0,0,0,0,0,NaN,NaN,NaN
76,1,12.22,0.083333,0,0,0,0,0,NaN,NaN,NaN
77,1,12.27,0.083333,0,0,0,0,0,NaN,NaN,NaN
78,1,12.32,0.083333,0,0,0,0,0,NaN,NaN,NaN
79,1,12.36,0.066667,0,0,0,0,0,NaN,NaN,NaN
80,1,12.46,0.166667,0,0,0,0,0,NaN,NaN,NaN
81,1,12.51,0.083333,0,0,0,0,0,NaN,NaN,NaN
82,1,12.55,0.066667,0,0,0,0,0,NaN,NaN,NaN
84,2,13.05,0.166667,0,0,0,0,0,NaN,NaN,NaN
85,1,13.14,0.150000,0,0,0,0,0,NaN,NaN,NaN
86,1,13.24,0.166667,0,0,0,0,0,NaN,NaN,NaN
88,2,13.33,0.150000,0,0,0,0,0,NaN,NaN,NaN
89,1,13.52,0.316667,0,0,0,0,0,NaN,NaN,NaN
90,1,13.57,0.083333,0,0,0,0,0,NaN,NaN,NaN
91,1,14.02,0.083333,0,0,0,0,0,NaN,NaN,NaN
92,1,14.06,0.066667,0,0,0,0,0,NaN,NaN,NaN
93,1,14.11,0.083333,0,0,0,0,0,NaN,NaN,NaN
94,1,14.16,0.083333,0,0,0,0,0,NaN,NaN,NaN
95,1,14.21,0.083333,0,0,0,0,0,NaN,NaN,NaN
96,1,14.25,0.066667,0,0,0,0,0,NaN,NaN,NaN
97,1,14.30,0.083333,0,0,0,0,0,NaN,NaN,NaN
98,1,14.35,0.083333,0,0,0,0,0,NaN,NaN,NaN
99,1,14.40,0.083333,0,0,0,0,0,NaN,NaN,NaN
100,1,14.44,0.066667,0,0,0,0,0,NaN,NaN,NaN
