コンボ数,ノーツ
1,1
2,1
3,1
4,2
5,1
6,2
7,0
8,2
9,0
10,2
11,0
12,2
13,0
14,2
15,0
16,0
17,0
18,0
19,2
20,0
21,2
22,0
23,2
24,0
25,2
26,0
27,2
28,0
29,2
30,0
31,0
32,2
33,0
34,2
35,0
36,2
37,0
38,2
39,0
40,2
41,0
42,2
43,0
44,0
45,0
46,0
47,2
48,0
49,2
50,0
51,0
52,0
53,0
54,0
55,0
56,2
57,0
58,2
59,2
60,2
61,2
62,2
63,0
64,2
65,2
66,2
67,2
68,2
69,0
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,0
80,2
81,2
82,0
83,2
84,0
85,2
86,2
87,0
88,2
89,0
90,0
91,0
92,0
93,0
94,0
95,2
96,2
97,2
98,2
99,1
100,1
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,1
115,0
116,2
117,2
118,2
119,2
120,2
121,0
122,2
123,0
124,0
125,0
126,0
127,0
128,1
129,1
130,1
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,1
140,1
141,1
142,0
143,1
144,0
145,1
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,1
156,1
157,0
158,1
159,0
160,1
161,0
162,1
163,0
164,0
165,2
166,0
167,2
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,1
177,1
178,1
179,1
180,0
181,2
182,0
183,2
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,1
194,1
195,1
196,1
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,1
208,1
209,1
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,1
222,1
223,1
224,1
225,1
226,2
227,0
228,2
229,2
230,0
231,2
232,2
233,0
234,0
235,0
236,0
237,0
238,1
239,2
240,0
241,2
242,0
243,0
244,0
245,0
246,0
247,0
248,2
249,2
250,0
251,2
252,2
253,1
254,2
255,0
256,0
257,0
258,0
259,1
260,0
261,1
262,0
263,1
264,1
265,0
266,0
267,2
268,2
269,0
270,2
271,2
272,0
273,2
274,2
275,0
276,2
277,2
278,0
279,0
280,0
281,1
282,0
283,1
284,0
285,1
286,1
287,0
288,1
289,1
290,1
291,1
292,1
293,1
294,0
295,1
296,1
297,1
298,0
299,1
300,0
301,0
302,2
303,0
304,2
305,2
306,0
307,2
308,2
309,0
310,2
311,2
312,0
313,2
314,2
315,2
316,2
317,2
318,2
319,2
320,1
321,1
322,1
323,0
324,1
325,1
326,1
327,1
328,0
329,1
330,1
331,1
332,1
333,1
334,0
335,2
336,2
337,2
338,2
339,0
340,0
341,2
342,2
343,2
344,2
345,0
346,0
347,0
348,0
349,0
350,2
351,2
352,0
353,0
354,2
355,0
356,2
357,2
358,0
359,2
360,0
361,0
362,0
363,0
364,2
365,0
366,2
367,2
368,0
369,2
370,0
371,0
372,2
373,0
374,2
375,0
376,0
377,2
378,0
379,2
380,0
381,0
382,2
383,0
384,2
385,2
386,0
387,2
388,0
389,0
390,0
391,0
392,2
393,0
394,2
395,2
396,0
397,2
398,0
399,0
400,0
401,0
402,2
403,0
404,2
405,2
406,2
407,2
408,2
409,0
410,2
411,2
412,2
413,2
414,2
415,0
416,2
417,2
418,2
419,2
420,2
421,2
422,2
423,2
424,2
425,0
426,2
427,2
428,0
429,2
430,0
431,2
432,2
433,0
434,2
435,0
436,0
437,0
438,0
439,0
440,0
441,2
442,2
443,2
444,2
445,0
446,0
447,1
448,1
449,0
450,0
451,2
452,2
453,2
454,2
455,2
456,2
457,2
458,2
459,2
460,0
461,2
462,0
463,2
464,0
465,2
466,0
467,2
468,0
469,0
470,0
471,0
472,2
473,0
474,2
475,0
476,2
477,0
478,2
479,0
480,2
481,0
482,0
483,0
484,0
485,0
486,0
487,2
488,0
489,2
490,0
491,2
492,0
493,2
494,2
495,2
496,2
497,0
498,0
499,0
500,2
501,0
502,2
503,0
504,2
505,0
506,2
507,0
508,2
509,0
510,0
511,2
512,0
513,2
514,2
515,2
516,2
517,2
518,2
519,0
520,2
521,2
522,2
523,2
524,0
525,2
526,2
527,2
528,2
529,2
530,2
531,2
532,2
533,2
534,2
535,2
536,2
537,0
538,0
539,0
540,0
541,2
542,0
543,2
544,0
545,0
546,0
547,0
548,0
549,0
550,2
551,0
552,2
553,2
554,0
555,0
556,0
557,0
558,2
559,0
560,0
561,0
562,0
563,0
564,0
565,1
566,1
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,2
575,0
576,2
577,0
578,0
579,0
580,2
581,0
582,2
583,0
584,0
585,2
586,0
587,2
588,1
589,2
590,1
591,2
592,1
593,2
594,1
595,2
596,1
597,2
598,0
599,0
600,0
