コンボ数,ノーツ
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,2
34,0
35,2
36,0
37,2
38,0
39,2
40,2
41,2
42,2
43,2
44,0
45,0
46,0
47,2
48,2
49,2
50,2
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,2
68,0
69,2
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,2
84,2
85,0
86,2
87,2
88,2
89,2
90,2
91,2
92,0
93,0
94,0
95,0
96,0
97,2
98,0
99,2
100,0
101,2
102,0
103,2
104,0
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,0
122,2
123,0
124,2
125,0
126,0
127,0
128,0
129,0
130,2
131,2
132,2
133,2
134,0
135,2
136,0
137,2
138,0
139,2
140,0
141,2
142,2
143,0
144,2
145,0
146,2
147,0
148,0
149,2
150,0
151,2
152,2
153,0
154,2
155,0
156,0
157,2
158,0
159,2
160,0
161,2
162,2
163,0
164,2
165,0
166,2
167,0
168,2
169,2
170,2
171,2
172,2
173,2
174,0
175,0
176,2
177,0
178,2
179,2
180,0
181,2
182,0
183,2
184,2
185,0
186,0
187,0
188,0
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,0
200,0
201,0
202,0
203,0
204,1
205,0
206,1
207,0
208,1
209,0
210,1
211,0
212,0
213,0
214,2
215,2
216,2
217,2
218,0
219,0
220,0
221,2
222,0
223,2
224,0
225,2
226,2
227,2
228,2
229,2
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,2
238,2
239,2
240,2
241,0
242,0
243,2
244,2
245,2
246,2
247,0
248,0
249,0
250,0
251,0
252,0
253,2
254,2
255,2
256,2
257,2
258,1
259,2
260,2
261,1
262,2
263,1
264,2
265,2
266,1
267,2
268,2
269,0
270,2
271,0
272,2
273,0
274,2
275,0
276,2
277,2
278,0
