コンボ数,ノーツ数,時間,時間差,ミタマ1,ミタマ2,ミタマ3,ミタマ4,ミタマ5,レベル,最大スコア,最適バースト位置
2,2,1.29,1.483333,0,0,0,0,0,27.0,0.0,0.0
3,1,1.51,0.366667,0,0,0,0,0,NaN,NaN,NaN
5,2,2.14,0.383333,0,0,0,0,0,NaN,NaN,NaN
7,2,2.36,0.366667,0,0,0,0,0,NaN,NaN,NaN
8,1,2.47,0.183333,0,0,0,0,0,NaN,NaN,NaN
9,1,3.21,0.566667,0,0,0,0,0,NaN,NaN,NaN
11,2,3.44,0.383333,0,0,0,0,0,NaN,NaN,NaN
13,2,4.06,0.366667,0,0,0,0,0,NaN,NaN,NaN
14,1,4.17,0.183333,0,0,0,0,0,NaN,NaN,NaN
15,1,4.51,0.566667,0,0,0,0,0,NaN,NaN,NaN
17,2,5.14,0.383333,0,0,0,0,0,NaN,NaN,NaN
19,2,5.36,0.366667,0,0,0,0,0,NaN,NaN,NaN
20,1,5.47,0.183333,0,0,0,0,0,NaN,NaN,NaN
21,1,5.59,0.200000,0,0,0,0,0,NaN,NaN,NaN
23,2,6.16,0.283333,0,0,0,0,0,NaN,NaN,NaN
25,2,6.32,0.266667,0,0,0,0,0,NaN,NaN,NaN
26,1,6.44,0.200000,0,0,0,0,0,NaN,NaN,NaN
28,2,7.01,0.283333,0,0,0,0,0,NaN,NaN,NaN
30,2,7.17,0.266667,0,0,0,0,0,NaN,NaN,NaN
32,2,7.29,0.200000,0,0,0,0,0,NaN,NaN,NaN
33,1,7.51,0.366667,0,0,0,0,0,NaN,NaN,NaN
35,2,8.14,0.383333,0,0,0,0,0,NaN,NaN,NaN
37,2,8.36,0.366667,0,0,0,0,0,NaN,NaN,NaN
38,1,8.47,0.183333,0,0,0,0,0,NaN,NaN,NaN
39,1,9.21,0.566667,0,0,0,0,0,NaN,NaN,NaN
41,2,9.44,0.383333,0,0,0,0,0,NaN,NaN,NaN
43,2,10.06,0.366667,0,0,0,0,0,NaN,NaN,NaN
44,1,10.17,0.183333,0,0,0,0,0,NaN,NaN,NaN
45,1,10.51,0.566667,0,0,0,0,0,NaN,NaN,NaN
47,2,11.14,0.383333,0,0,0,0,0,NaN,NaN,NaN
49,2,11.36,0.366667,0,0,0,0,0,NaN,NaN,NaN
50,1,11.47,0.183333,0,0,0,0,0,NaN,NaN,NaN
51,1,11.59,0.200000,0,0,0,0,0,NaN,NaN,NaN
53,2,12.15,0.266667,0,0,0,0,0,NaN,NaN,NaN
55,2,12.32,0.283333,0,0,0,0,0,NaN,NaN,NaN
56,1,12.55,0.383333,0,0,0,0,0,NaN,NaN,NaN
57,1,13.06,0.183333,0,0,0,0,0,NaN,NaN,NaN
58,1,13.17,0.183333,0,0,0,0,0,NaN,NaN,NaN
59,1,13.29,0.200000,0,0,0,0,0,NaN,NaN,NaN
61,2,14.02,0.550000,0,0,0,0,0,NaN,NaN,NaN
62,1,14.14,0.200000,0,0,0,0,0,NaN,NaN,NaN
64,2,14.47,0.550000,0,0,0,0,0,NaN,NaN,NaN
65,1,14.59,0.200000,0,0,0,0,0,NaN,NaN,NaN
66,1,15.04,0.083333,0,0,0,0,0,NaN,NaN,NaN
68,2,15.21,0.283333,0,0,0,0,0,NaN,NaN,NaN
69,1,15.38,0.283333,0,0,0,0,0,NaN,NaN,NaN
70,1,15.55,0.283333,0,0,0,0,0,NaN,NaN,NaN
